goods_id,goods_sn,is_on_sale,shipin_type,kuanshi_type,zhushizhong,shoucun,zhuchengse,zhuchengsezhong,yuanshichengbenjia,goods_name,company,warehouse,wh_name,p_name,yanse
1409306272 ,KLDW026644,3,钻石饰品,耳饰,0.032,,18K白金,1.338,749.96,18K白金钻石耳饰,58,656,展会活动库,总公司,
150312503009 ,KLDW026644,3,钻石饰品,耳饰,0.078,,18K白金,1.516,773.15,18K白金钻石耳饰,58,656,展会活动库,总公司,
150312502998 ,KLDW026645,3,钻石饰品,耳饰,0.204,,18K白金,2.002,1140.09,18K白金钻石耳饰,58,656,展会活动库,总公司,I-J
150202461792 ,KLDW026646,3,钻石饰品,耳饰,0.188,,18K白金,1.182,1063.67,18K白金钻石耳饰,58,653,批发展厅库,总公司,
150202461793 ,KLDW026646,3,钻石饰品,耳饰,0.188,,18K白金,1.19,1065.37,18K白金钻石耳饰,58,653,批发展厅库,总公司,
150415537741 ,KLDW026660,3,钻石饰品,耳饰,0.196,,18K白金,0.648,1665.15,18K白金钻石耳饰,58,656,展会活动库,总公司,I-J
1412415708 ,KLDW027034,3,钻石饰品,耳饰,0.196,,18K白金,0.895,2623.43,18K白金钻石耳饰,58,656,展会活动库,总公司,H
1501431788 ,KLDW027082,3,钻石饰品,耳饰,0.616,,18K白金,2.7,3728.92,18K白金钻石耳饰,58,656,展会活动库,总公司,
1501433402 ,KLDW027082,3,钻石饰品,耳饰,0.631,,18K白金,2.66,3779.51,18K白金钻石耳饰,58,656,展会活动库,总公司,
150303494749 ,KLDW027822,3,珍珠饰品,耳饰,0,,18K玫瑰金,2.49,896,18K玫瑰金海水珍珠耳饰,58,79,深圳珍珠库,总公司,
1105020066 ,KLHW008898,3,珍珠饰品,耳钉,0,,18K白金,0.9,1269,18K白金珍珠耳钉,58,79,深圳珍珠库,总公司,
1105020072 ,KLHW008900,3,珍珠饰品,耳钉,0,,18K白金,1.1,1069,18K白金海水珍珠耳钉,58,79,深圳珍珠库,总公司,
1103040723 ,KLHW008911,3,珍珠饰品,耳钉,0,,18K黄金,1.9,3537.96,18K黄金海水珍珠耳钉,58,79,深圳珍珠库,总公司,
1108010509 ,KLHW010531,3,珍珠饰品,项链,0,,S925,0,98,S925珍珠项链,58,79,深圳珍珠库,总公司,
1312084937 ,KLHW011008,3,珍珠饰品,吊坠,0,,18K白金,0,1615,18K白金大溪地珍珠吊坠,58,79,深圳珍珠库,总公司,
1108010504 ,KLHW011026,3,珍珠饰品,耳钉,0,,18K白金,0.81,564,18K白金珍珠耳钉,58,79,深圳珍珠库,总公司,
1108010506 ,KLNW010531,3,珍珠饰品,项链,0,,S925,0,98,S925珍珠项链,58,79,深圳珍珠库,总公司,
1209033832 ,KLNW010539,3,珍珠饰品,项链,0,,18K黄金,0,713.38,18K黄金珍珠项链,58,79,深圳珍珠库,总公司,
1209033836 ,KLNW010539,3,珍珠饰品,项链,0,,18K黄金,0,713.38,18K黄金珍珠项链,58,79,深圳珍珠库,总公司,
